Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,Daily_Return,Log_Return,SMA_5,SMA_20,EMA_12,EMA_26,RSI_14,MACD,MACD_Signal,ATR_14,BB_Middle,BB_Std,BB_Upper,BB_Lower,OBV,Company,Movement
HIDCL,2016-08-09,376.0,397.0,376.0,395.0,7.05 %,16573.0,6415360.0,0.070460704607046,0.0680891208605946,389.6,411.4,398.5970264888418,396.1476141326581,16.081648225867923,2.4494123561837,8.365164957130883,20.428571428571427,411.4,27.07377834149144,465.5475566829829,357.2524433170171,56380.0,HIDCL,0
HIDCL,2016-08-10,400.0,402.0,385.0,388.0,-1.77 %,44128.0,17307700.0,-0.0177215189873417,-0.0178804252778484,386.6,412.85,396.96671472132766,395.54408715986864,17.218667670304825,1.4226275614590236,6.976657477996512,19.357142857142858,412.85,24.800838271061902,462.45167654212383,363.2483234578762,12252.0,HIDCL,1
HIDCL,2016-08-11,390.0,392.0,383.0,390.0,-0.51 %,34904.0,13512900.0,0.0051546391752577,0.0051413995004186,386.4,412.65,395.894912456508,395.1334140369154,33.885931558935354,0.7614984195926127,5.733625666315733,17.857142857142858,412.65,24.976357241452003,462.602714482904,362.697285517096,47156.0,HIDCL,0
HIDCL,2016-08-14,385.0,390.0,358.0,362.0,-7.18 %,49307.0,18049000.0,-0.0717948717948717,-0.074502527297921,380.8,409.1,390.68031054012215,392.6790870712179,39.504396482813746,-1.998776531095814,4.187145226833424,18.214285714285715,409.1,26.903140102382505,462.90628020476504,355.293719795235,-2151.0,HIDCL,0
HIDCL,2016-08-15,366.0,366.0,338.0,344.0,-4.97 %,36829.0,12687900.0,-0.0497237569060773,-0.0510025544523726,375.8,402.5,383.49872430318027,389.0732287696463,37.01731025299603,-5.57450446646601,2.2348152881735373,18.285714285714285,402.5,25.795756484964347,454.0915129699287,350.9084870300713,-38980.0,HIDCL,1
HIDCL,2016-08-16,338.0,355.0,336.0,350.0,1.74 %,36420.0,12532500.0,0.0174418604651163,0.017291497110061,366.8,397.25,378.34507441038335,386.1789155274503,47.993402968664086,-7.833841117066925,0.2210840071254447,18.428571428571427,397.25,25.227126168805754,447.7042523376115,346.7957476623885,-2560.0,HIDCL,1
HIDCL,2016-08-17,350.0,357.0,345.0,355.0,1.43 %,33053.0,11593700.0,0.0142857142857142,0.0141846349919563,360.2,393.65,374.7535245010936,383.86936622912066,52.11940298507461,-9.11584172802702,-1.646301139905049,18.571428571428573,393.65,25.88695058376552,445.423901167531,341.8760988324689,30493.0,HIDCL,0
HIDCL,2016-08-21,355.0,356.0,344.0,346.0,-2.54 %,14759.0,5152710.0,-0.0253521126760563,-0.0256790144176915,351.4,390.95,370.3299053470792,381.0642279899265,53.761891034880385,-10.734322642847305,-3.4639054404934995,18.714285714285715,390.95,27.92560605759905,446.8012121151981,335.0987878848019,15734.0,HIDCL,0
HIDCL,2016-08-22,340.0,341.0,326.0,329.0,-4.91 %,30973.0,10319800.0,-0.0491329479768786,-0.0503810242923523,344.8,386.9,363.9714583706055,377.2076185091912,52.85532095791411,-13.236160138585715,-5.418356380111943,19.428571428571427,386.9,30.74838463878613,448.3967692775722,325.40323072242774,-15239.0,HIDCL,0
HIDCL,2016-08-23,325.0,330.0,319.0,325.0,-1.22 %,29800.0,9665680.0,-0.0121580547112462,-0.0122325684356344,341.0,381.65,357.97584939051234,373.3403875085104,57.854821235102946,-15.364538117998052,-7.407592727689165,19.071428571428573,381.65,31.94283545401233,445.53567090802466,317.7643290919753,-45039.0,HIDCL,1
